,episode_reward,nb_episode_steps,nb_steps
1273,0.0,50,63441
1274,0.0,50,63491
1275,-455.0,50,63541
1276,0.0,50,63591
1277,-4423.0,50,63641
1278,0.0,50,63691
1279,0.0,50,63741
1280,0.0,50,63791
1281,0.0,50,63841
1282,0.0,50,63891
1283,0.0,50,63941
1284,88.0,50,63991
1285,0.0,50,64041
1286,0.0,50,64091
1287,-110.0,70,64161
1288,0.0,50,64211
1289,0.0,50,64261
1290,0.0,50,64311
1291,0.0,50,64361
1292,0.0,50,64411
1293,-50.0,50,64461
1294,0.0,50,64511
1295,-440.0,50,64561
1296,0.0,50,64611
1297,-420.0,50,64661
1298,0.0,50,64711
1299,0.0,50,64761
1300,36.0,50,64811
1301,0.0,50,64861
1302,0.0,50,64911
1303,0.0,50,64961
1304,0.0,50,65011
1305,0.0,50,65061
1306,0.0,50,65111
1307,0.0,50,65161
1308,62.0,50,65211
1309,0.0,70,65281
1310,0.0,50,65331
1311,0.0,50,65381
1312,0.0,50,65431
1313,70.0,50,65481
1314,-290.0,50,65531
1315,0.0,50,65581
1316,-300.0,50,65631
1317,0.0,50,65681
1318,0.0,50,65731
1319,0.0,50,65781
1320,0.0,50,65831
1321,54.0,50,65881
1322,0.0,50,65931
1323,0.0,50,65981
1324,0.0,50,66031
1325,0.0,50,66081
1326,0.0,50,66131
1327,0.0,50,66181
1328,0.0,50,66231
1329,0.0,50,66281
1330,0.0,50,66331
1331,0.0,50,66381
1332,0.0,50,66431
1333,0.0,50,66481
1334,0.0,50,66531
1335,0.0,50,66581
1336,0.0,50,66631
1337,0.0,50,66681
1338,0.0,50,66731
1339,0.0,50,66781
1340,0.0,50,66831
1341,50.0,50,66881
1342,0.0,70,66951
1343,0.0,50,67001
1344,0.0,50,67051
1345,0.0,50,67101
1346,0.0,50,67151
1347,0.0,50,67201
1348,0.0,50,67251
1349,0.0,50,67301
1350,-380.0,50,67351
1351,0.0,50,67401
1352,0.0,50,67451
1353,40.0,33,67484
